iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
21,1.0,0.0,1.0,0.0,0.011056359816096999,0.01226863548816997,0.0008249378357801471,7.426837635684883e-05
22,1.0,0.0,1.0,0.0,0.011056206922677886,0.012268478927572112,0.0008249190693183948,7.425830483498582e-05
23,1.0,0.0,1.0,0.0,0.01105616124297672,0.012268522326808579,0.0008248792786174738,7.429366285027428e-05
24,1.0,0.0,1.0,0.0,0.011056056835009005,0.01226855459694665,0.0008248197460392576,7.429079157514186e-05
25,1.0,0.0,1.0,0.0,0.011056035221158365,0.012268576387955378,0.000824805624766298,7.429176842218002e-05
26,1.0,0.0,1.0,0.0,0.011055996230654789,0.012268615698428532,0.0008247772854871416,7.429376926042241e-05
27,1.0,0.0,1.0,0.0,0.011055976673411901,0.01226863541635082,0.0008247632204055564,7.42947823468333e-05
28,1.0,0.0,1.0,0.0,0.011055957673314538,0.012268654572669093,0.0008247491781729949,7.42958070546977e-05
29,1.0,0.0,1.0,0.0,0.011055957673314538,0.012268654572669093,0.0008247491781729949,7.42958070546977e-05
30,1.0,0.0,1.0,0.0,0.011055941023323211,0.01226867135965486,0.0008247370811240607,7.429670044483569e-05
31,1.0,0.0,1.0,0.0,0.011055941023323211,0.01226867135965486,0.0008247370811240607,7.429670044483569e-05
32,1.0,0.0,1.0,0.0,0.011055868056708933,0.012268721236615527,0.0008247140136974328,7.43117411087868e-05
33,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
34,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
35,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
36,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
37,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
38,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
39,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
40,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
41,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
42,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
43,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
44,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
45,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
46,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
47,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
48,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
49,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
50,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
51,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
52,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
53,1.0,0.0,1.0,0.0,0.011055795108516156,0.012268771102950295,0.0008246904289368315,7.432715295152148e-05
54,1.0,0.0,1.0,0.0,0.01105577269288632,0.012268793702638845,0.0008246755184831446,7.432825549729357e-05
55,1.0,0.0,1.0,0.0,0.01105575314941589,0.0122688134067173,0.0008246614631655178,7.432930848872263e-05
56,1.0,0.0,1.0,0.0,0.0110557414738292,0.012268825178313006,0.0008246519105440163,7.433003172521844e-05
57,1.0,0.0,1.0,0.0,0.0110557414738292,0.012268825178313006,0.0008246519105440163,7.433003172521844e-05
58,1.0,0.0,1.0,0.0,0.0110557414738292,0.012268825178313006,0.0008246519105440163,7.433003172521844e-05
59,1.0,0.0,1.0,0.0,0.0110557414738292,0.012268825178313006,0.0008246519105440163,7.433003172521844e-05
60,1.0,0.0,1.0,0.0,0.0110557414738292,0.012268825178313006,0.0008246519105440163,7.433003172521844e-05
61,1.0,0.0,1.0,0.0,0.0110557414738292,0.012268825178313006,0.0008246519105440163,7.433003172521844e-05
62,1.0,0.0,1.0,0.0,0.0110557414738292,0.012268825178313006,0.0008246519105440163,7.433003172521844e-05
63,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
64,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
65,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
66,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
67,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
68,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
69,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
70,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
71,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
72,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
73,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
74,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
75,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
76,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
77,1.0,0.0,1.0,0.0,0.011055730466405136,0.012268836276292282,0.0008246415369031838,7.433082406605804e-05
